id,producto,cantidad,precio,fecha
338,Impresora,18,193.55,2023-04-24
339,Laptop,8,1392.1,2023-06-19
340,Laptop,8,804.42,2023-04-16
341,Tablet,18,289.33,2023-10-10
342,Tablet,8,408.68,2023-03-12
343,Laptop,5,1112.09,2023-02-15
344,Impresora,10,209.47,2023-08-16
345,Mouse,11,24.61,2023-04-18
346,Teléfono,8,393.01,2023-06-08
347,Mouse,2,15.21,2023-08-05
348,Teléfono,1,735.15,2023-07-19
349,Impresora,7,176.98,2023-09-05
350,Teclado,4,44.25,2023-07-24
351,Tablet,14,208.26,2023-04-16
352,Monitor,11,375.43,2023-11-30
353,Impresora,12,230.75,2023-11-05
354,Mouse,13,11.41,2023-04-07
355,Teléfono,12,302.67,2023-03-27
356,Impresora,19,103.17,2023-08-15
357,Tablet,16,466.34,2023-12-22
358,Impresora,3,243.96,2023-08-04
359,Monitor,19,284.54,2023-02-17
360,Mouse,3,16.32,2023-01-14
361,Laptop,8,1098.57,2023-05-17
362,Monitor,6,105.47,2023-09-02
363,Tablet,16,280.85,2023-10-25
364,Impresora,16,86.44,2023-04-19
365,Laptop,9,1473.81,2023-11-05
366,Teléfono,9,705.77,2023-01-17
367,Impresora,2,229.95,2023-12-09
368,Mouse,16,18.93,2023-01-03
369,Teléfono,9,553.48,2023-03-21
370,Laptop,1,1058.2,2023-09-02
371,Tablet,19,458.46,2023-09-17
372,Monitor,8,384.52,2023-01-03
373,Laptop,10,977.19,2023-03-09
374,Monitor,10,208.62,2023-09-27
375,Tablet,14,273.81,2023-05-04
376,Monitor,18,212.18,2023-04-22
377,Mouse,8,12.4,2023-06-23
378,Teclado,5,21.51,2023-02-21
379,Tablet,11,281.23,2023-07-27
380,Laptop,2,1173.06,2023-03-03
381,Laptop,7,1353.1,2023-06-11
382,Laptop,1,1172.34,2023-12-18
383,Teclado,5,21.1,2023-02-10
384,Teclado,19,36.98,2023-02-28
385,Mouse,3,19.69,2023-07-09
386,Monitor,13,135.25,2023-12-17
387,Monitor,16,199.85,2023-06-16
388,Monitor,11,374.48,2023-03-28
389,Impresora,19,242.52,2023-04-24
390,Monitor,9,383.29,2023-02-15
391,Laptop,13,793.87,2023-10-18
392,Monitor,2,294.25,2023-02-10
393,Mouse,7,19.64,2023-12-11
394,Teclado,13,34.35,2023-05-15
395,Monitor,3,244.58,2023-08-23
396,Impresora,16,163.33,2023-06-17
397,Teclado,18,41.04,2023-12-13
398,Teclado,4,29.48,2023-08-25
399,Mouse,17,29.1,2023-04-28
400,Monitor,12,141.6,2023-10-02
401,Impresora,3,128.76,2023-09-07
402,Mouse,1,14.51,2023-02-19
403,Teléfono,14,419.87,2023-05-17
404,Teléfono,12,247.63,2023-11-13
405,Monitor,13,315.23,2023-01-07
406,Teclado,1,16.35,2023-10-28
407,Tablet,3,403.48,2023-12-04
408,Laptop,16,829.25,2023-06-15
409,Mouse,10,21.73,2023-08-05
410,Tablet,1,176.08,2023-10-11
411,Laptop,19,1310.99,2023-02-03
412,Teclado,20,23.82,2023-05-14
413,Laptop,1,1004.87,2023-01-16
414,Teléfono,7,642.07,2023-05-12
415,Teclado,13,17.82,2023-03-03
416,Impresora,12,98.24,2023-08-13
417,Mouse,5,15.76,2023-11-04
418,Teclado,2,34.23,2023-12-04
419,Laptop,12,1431.13,2023-12-17
420,Laptop,10,1266.46,2023-01-18
421,Mouse,15,12.46,2023-08-06
422,Mouse,18,28.06,2023-12-21
423,Monitor,11,348.16,2023-06-26
424,Tablet,15,466.82,2023-01-15
425,Impresora,14,175.41,2023-07-29
426,Laptop,5,775.22,2023-06-29
427,Impresora,2,111.36,2023-02-22
428,Teléfono,14,282.07,2023-07-21
429,Monitor,14,230.4,2023-01-21
430,Tablet,6,269.39,2023-05-12
431,Impresora,17,163.52,2023-10-16
432,Tablet,17,496.4,2023-12-12
433,Mouse,1,14.8,2023-11-20
434,Teclado,18,26.89,2023-08-29
435,Impresora,7,193.3,2023-08-09
436,Monitor,14,341.52,2023-10-03
437,Monitor,6,223.13,2023-01-22
438,Impresora,5,88.47,2023-05-31
439,Impresora,13,191.83,2023-02-05
440,Tablet,3,363.82,2023-12-25
441,Laptop,7,1219.59,2023-07-09
442,Monitor,14,197.71,2023-09-13
443,Laptop,16,739.05,2023-05-01
444,Laptop,10,815.43,2023-12-30
445,Laptop,3,709.87,2023-12-14
446,Teclado,11,22.62,2023-04-07
447,Teléfono,18,419.5,2023-07-20
448,Laptop,2,953.95,2023-08-12
449,Impresora,5,136.85,2023-07-25
450,Monitor,2,175.1,2023-08-04
451,Mouse,7,17.3,2023-12-17
452,Mouse,9,20.2,2023-07-16
453,Monitor,11,269.98,2023-08-02
454,Teléfono,20,418.59,2023-01-09
455,Teléfono,7,485.24,2023-06-10
456,Impresora,2,161.28,2023-02-21
457,Laptop,7,1458.93,2023-12-16
458,Laptop,2,1348.28,2023-06-10
459,Mouse,6,27.67,2023-05-12
460,Monitor,4,170.14,2023-03-20
461,Laptop,20,1315.3,2023-02-16
462,Monitor,12,176.38,2023-03-10
463,Tablet,14,361.69,2023-06-05
464,Monitor,20,263.57,2023-04-28
465,Laptop,4,1456.8,2023-04-08
466,Teclado,17,21.94,2023-07-14
467,Impresora,15,96.88,2023-05-06
468,Laptop,12,1482.04,2023-03-13
469,Laptop,7,1150.17,2023-09-10
470,Monitor,9,190.1,2023-06-07
471,Laptop,12,1165.62,2023-05-18
472,Teléfono,2,380.38,2023-06-11
473,Monitor,9,251.14,2023-03-04
474,Impresora,11,225.86,2023-12-03
475,Tablet,3,368.2,2023-02-18
476,Teléfono,14,610.86,2023-05-01
477,Tablet,5,481.07,2023-05-12
478,Mouse,1,18.3,2023-12-26
479,Tablet,19,161.32,2023-11-29
480,Laptop,16,747.41,2023-08-08
481,Teclado,20,22.57,2023-09-05
482,Impresora,10,171.22,2023-08-30
483,Tablet,5,352.91,2023-08-14
484,Tablet,14,179.48,2023-11-11
485,Impresora,20,205.2,2023-02-21
486,Impresora,14,182.88,2023-05-03
487,Impresora,20,222.08,2023-03-16
488,Impresora,5,82.78,2023-10-09
489,Mouse,5,29.48,2023-09-05
490,Impresora,14,118.97,2023-12-21
491,Monitor,13,336.15,2023-11-02
492,Teléfono,15,606.51,2023-02-20
493,Teclado,2,31.96,2023-08-30
494,Monitor,5,328.67,2023-05-28
495,Mouse,4,20.64,2023-08-29
496,Impresora,4,249.6,2023-08-08
497,Laptop,20,1478.57,2023-08-03
498,Teléfono,5,536.22,2023-02-06
499,Laptop,2,1360.91,2023-11-17
500,Teclado,3,36.3,2023-08-03
501,Monitor,7,241.23,2023-06-11
502,Laptop,19,1049.54,2023-05-22
503,Monitor,15,213.65,2023-06-23
504,Laptop,1,1326.03,2023-12-24
505,Impresora,1,229.07,2023-06-23
506,Laptop,2,1304.14,2023-11-30
507,Laptop,3,1292.82,2023-07-15
508,Laptop,4,1423.05,2023-08-22
509,Teléfono,7,616.45,2023-09-23
510,Teclado,17,34.22,2023-11-27
511,Mouse,13,14.55,2023-11-28
512,Laptop,6,950.27,2023-10-05
513,Tablet,18,415.15,2023-06-12
514,Teléfono,3,444.77,2023-03-17
515,Laptop,6,1300.25,2023-02-14
516,Laptop,7,1062.68,2023-06-03
517,Tablet,9,179.99,2023-09-15
518,Teléfono,4,757.77,2023-10-15
519,Monitor,2,323.7,2023-03-09
520,Monitor,1,242.18,2023-02-08
521,Tablet,6,484.47,2023-08-14
522,Teléfono,7,740.67,2023-07-28
523,Tablet,3,221.28,2023-12-01
524,Mouse,12,26.9,2023-03-01
525,Mouse,5,17.5,2023-08-14
526,Monitor,20,329.58,2023-10-16
527,Tablet,20,393.9,2023-03-13
528,Impresora,15,107.44,2023-04-10
529,Mouse,15,12.71,2023-10-27
530,Teclado,12,19.04,2023-01-31
531,Tablet,3,345.15,2023-01-16
532,Mouse,17,24.2,2023-03-25
533,Teclado,15,35.61,2023-06-01
534,Mouse,15,25.96,2023-08-01
535,Mouse,8,21.29,2023-12-16
536,Teclado,16,49.48,2023-10-21
537,Impresora,20,172.66,2023-01-17
538,Monitor,7,364.61,2023-10-29
539,Monitor,7,316.85,2023-01-21
540,Teclado,13,49.86,2023-02-19
541,Laptop,17,889.32,2023-01-23
542,Impresora,12,117.22,2023-09-10
543,Mouse,8,10.46,2023-03-07
544,Laptop,13,1237.96,2023-11-11
545,Tablet,14,213.96,2023-08-20
546,Impresora,18,147.87,2023-01-14
547,Teléfono,19,601.85,2023-06-07
548,Teléfono,2,260.82,2023-06-08
549,Mouse,17,12.83,2023-08-09
550,Monitor,14,305.71,2023-04-27
551,Laptop,14,1201.87,2023-09-29
552,Tablet,19,176.04,2023-07-14
553,Mouse,18,18.25,2023-05-05
554,Teléfono,17,700.87,2023-12-10
555,Teléfono,10,426.73,2023-08-16
556,Laptop,18,1287.66,2023-03-17
557,Teclado,3,37.88,2023-10-20
558,Mouse,11,17.23,2023-09-15
559,Tablet,10,381.22,2023-05-24
560,Laptop,2,1210.49,2023-05-17
561,Teléfono,9,572.75,2023-10-01
562,Monitor,9,311.42,2023-04-25
563,Mouse,9,25.29,2023-11-16
564,Monitor,12,356.03,2023-11-29
565,Impresora,9,160.77,2023-11-17
566,Teclado,10,48.12,2023-05-29
567,Laptop,6,1412.7,2023-10-13
568,Monitor,4,223.42,2023-09-12
569,Impresora,8,247.61,2023-10-19
570,Teléfono,20,393.88,2023-08-26
571,Teléfono,16,358.61,2023-04-24
572,Mouse,4,29.14,2023-11-03
573,Laptop,13,1112.22,2023-04-02
574,Laptop,17,1063.78,2023-01-16
575,Mouse,18,23.06,2023-12-20
576,Monitor,7,377.06,2023-08-31
577,Impresora,10,170.32,2023-09-22
578,Teléfono,5,377.15,2023-09-18
579,Impresora,12,134.37,2023-06-18
580,Monitor,12,297.09,2023-02-18
581,Monitor,10,266.19,2023-10-31
582,Tablet,18,404.67,2023-03-16
583,Teléfono,16,504.4,2023-11-30
584,Monitor,4,361.61,2023-02-13
585,Impresora,17,148.18,2023-10-09
586,Mouse,20,24.22,2023-09-20
587,Laptop,16,1333.97,2023-12-12
588,Mouse,2,13.35,2023-09-14
589,Teléfono,19,214.85,2023-07-13
590,Teclado,7,17.86,2023-01-01
591,Mouse,5,10.13,2023-05-23
592,Impresora,4,214.76,2023-09-13
593,Impresora,12,238.25,2023-03-03
594,Monitor,14,326.19,2023-12-10
595,Teléfono,20,288.64,2023-11-03
596,Laptop,12,995.47,2023-09-01
597,Tablet,20,289.21,2023-09-13
598,Tablet,10,314.36,2023-12-21
599,Monitor,18,147.06,2023-02-10
600,Mouse,10,14.3,2023-06-11
601,Teléfono,15,382.46,2023-07-14
602,Teclado,17,19.22,2023-09-30
603,Teléfono,1,390.04,2023-03-30
604,Monitor,5,336.68,2023-05-12
605,Laptop,17,1398.18,2023-03-21
606,Teclado,17,47.48,2023-10-02
607,Teclado,1,29.31,2023-10-31
608,Impresora,17,177.51,2023-11-21
609,Teléfono,11,322.53,2023-07-29
610,Teclado,4,36.62,2023-02-12
611,Monitor,18,301.45,2023-08-26
612,Monitor,3,334.7,2023-03-14
613,Monitor,10,328.38,2023-01-17
614,Teléfono,4,582.39,2023-05-18
615,Tablet,3,207.38,2023-12-24
616,Mouse,9,19.16,2023-11-30
617,Tablet,3,264.72,2023-06-21
618,Tablet,5,458.97,2023-06-17
619,Teclado,19,40.32,2023-07-22
620,Monitor,15,344.09,2023-10-16
621,Monitor,13,298.06,2023-12-18
622,Tablet,6,287.83,2023-12-13
623,Monitor,14,328.39,2023-03-21
624,Teléfono,9,517.63,2023-09-22
625,Mouse,1,12.15,2023-08-13
626,Tablet,10,421.74,2023-11-12
627,Impresora,15,173.55,2023-12-24
628,Teclado,20,35.48,2023-09-29
629,Teléfono,13,612.86,2023-06-22
630,Teclado,12,49.58,2023-09-29
631,Tablet,20,268.65,2023-01-15
632,Tablet,19,439.05,2023-08-22
633,Mouse,19,16.14,2023-08-01
634,Tablet,6,463.99,2023-02-25
635,Laptop,11,721.63,2023-05-10
636,Monitor,1,159.62,2023-01-11
637,Mouse,9,29.58,2023-10-03
638,Teléfono,4,709.46,2023-11-12
639,Laptop,18,891.6,2023-02-06
640,Laptop,16,1200.94,2023-04-09
641,Tablet,14,359.03,2023-01-24
642,Impresora,4,247.95,2023-12-10
643,Teclado,3,16.29,2023-01-31
644,Tablet,17,466.88,2023-11-16
645,Teléfono,3,754.7,2023-07-08
646,Impresora,12,87.0,2023-10-25
647,Teclado,15,23.55,2023-09-18
648,Teclado,14,47.56,2023-11-17
649,Mouse,10,11.66,2023-11-22
650,Monitor,2,237.64,2023-02-04
651,Teléfono,18,503.91,2023-11-18
652,Tablet,11,286.53,2023-10-06
653,Teclado,7,18.9,2023-02-26
654,Tablet,16,168.04,2023-08-15
655,Mouse,4,22.43,2023-01-15
656,Teclado,12,34.07,2023-07-11
657,Monitor,17,192.26,2023-01-07
658,Teclado,1,20.09,2023-05-21
659,Laptop,9,1068.86,2023-08-16
660,Laptop,1,897.07,2023-06-04
661,Mouse,1,12.89,2023-02-07
662,Laptop,15,948.44,2023-11-07
663,Monitor,17,288.16,2023-06-23
664,Laptop,5,848.7,2023-06-06
665,Impresora,12,134.99,2023-02-01
666,Tablet,13,213.92,2023-07-19
667,Teléfono,8,626.14,2023-06-02
668,Impresora,10,220.87,2023-09-01
669,Teléfono,13,373.42,2023-09-25
670,Tablet,20,408.97,2023-12-22
671,Monitor,16,325.82,2023-08-07
672,Impresora,18,142.58,2023-05-08
673,Mouse,4,16.27,2023-08-26
674,Tablet,10,221.03,2023-10-22
675,Teléfono,18,760.39,2023-02-27
676,Monitor,18,362.5,2023-04-10
677,Teclado,13,30.62,2023-11-17
678,Teléfono,9,233.4,2023-10-31
679,Laptop,5,813.4,2023-03-29
680,Monitor,17,367.05,2023-05-23
681,Tablet,9,343.5,2023-02-16
682,Teléfono,4,534.79,2023-02-05
683,Tablet,6,307.81,2023-01-13
684,Mouse,20,19.46,2023-01-01
685,Tablet,15,397.96,2023-04-21
686,Teléfono,14,270.13,2023-03-20
687,Teclado,5,34.85,2023-04-13
688,Monitor,14,123.89,2023-09-15
689,Mouse,20,16.15,2023-10-02
690,Mouse,13,13.3,2023-07-31
